Fecha|Total
2018-12-08|0.0
2018-12-09|0.0
2018-12-10|8878.7
2018-12-11|3057.05
2018-12-12|0.0
2018-12-13|0.0
2018-12-14|3157.5299999999997
2018-12-15|1466.3
2018-12-16|0.0
2018-12-17|4684.4
2018-12-18|3120.55
2018-12-19|14816.16
2018-12-20|451.5
2018-12-21|10884.24
2018-12-22|1507.11
2018-12-23|0.0
2018-12-24|0.0
2018-12-25|0.0
2018-12-26|0.0
2018-12-27|5552.38
2018-12-28|0.0
2018-12-29|2150.61
2018-12-30|0.0
2018-12-31|0.0
2019-01-01|0.0
2019-01-02|19201.800000000003
2019-01-03|14858.01
2019-01-04|5409.1
2019-01-05|8341.6
2019-01-06|0.0
2019-01-07|6580.82
2019-01-08|21433.39
2019-01-09|34466.380000000005
2019-01-10|11624.02
2019-01-11|0.0
2019-01-12|1974.25
2019-01-13|0.0
2019-01-14|6078.64
2019-01-15|9273.029999999999
2019-01-16|0.0
2019-01-17|4170.8
2019-01-18|10667.58
2019-01-19|0.0
2019-01-20|0.0
2019-01-21|21371.71
2019-01-22|0.0
2019-01-23|0.0
2019-01-24|19484.23
2019-01-25|0.0
2019-01-26|1801.81
2019-01-27|0.0
2019-01-28|400.0
2019-01-29|0.0
2019-01-30|0.0
2019-01-31|8674.71
2019-02-01|0.0
2019-02-02|1532.48
2019-02-03|0.0
2019-02-04|0.0
2019-02-05|1864.58
2019-02-06|27375.11
2019-02-07|11826.06
2019-02-08|40462.73
2019-02-09|0.0
2019-02-10|0.0
2019-02-11|13884.449999999999
2019-02-12|7475.19
2019-02-13|3125.82
2019-02-14|7339.68
2019-02-15|3005.81
2019-02-16|10036.0
2019-02-17|0.0
2019-02-18|3545.18
2019-02-19|2000.0
2019-02-20|17773.27
2019-02-21|0.0
2019-02-22|1319.67
2019-02-23|0.0
2019-02-24|0.0
2019-02-25|7728.61
2019-02-26|3948.3500000000004
2019-02-27|4549.99
2019-02-28|0.0
2019-03-01|25377.34
2019-03-02|31705.370000000003
2019-03-03|0.0
2019-03-04|11605.99
2019-03-05|9014.28
2019-03-06|1163.0
2019-03-07|16709.2
2019-03-08|14846.54
2019-03-09|5868.03
2019-03-10|0.0
2019-03-11|3465.0
2019-03-12|2266.7
2019-03-13|941.72
2019-03-14|0.0
2019-03-15|1293.0
2019-03-16|4691.25
2019-03-17|0.0
2019-03-18|0.0
2019-03-19|1385.55
2019-03-20|20402.829999999998
2019-03-21|18288.75
2019-03-22|10968.1
2019-03-23|988.55
2019-03-24|0.0
2019-03-25|0.0
2019-03-26|7868.0
2019-03-27|0.0
2019-03-28|6935.99
2019-03-29|1046.7
2019-03-30|0.0
2019-03-31|0.0
2019-04-01|1630.0
2019-04-02|48551.03
2019-04-03|0.0
2019-04-04|20321.43
2019-04-05|15620.6
2019-04-06|988.55
2019-04-07|0.0
2019-04-08|10538.0
2019-04-09|8921.35
2019-04-10|8072.55
2019-04-11|8531.0
2019-04-12|965.0
2019-04-13|1539.5
2019-04-14|0.0
2019-04-15|0.0
2019-04-16|0.0
2019-04-17|0.0
2019-04-18|0.0
2019-04-19|0.0
2019-04-20|0.0
2019-04-21|0.0
2019-04-22|13225.529999999999
2019-04-23|0.0
2019-04-24|0.0
2019-04-25|1186.26
2019-04-26|2793.0
2019-04-27|0.0
2019-04-28|0.0
2019-04-29|2303.16
2019-04-30|1974.25
2019-05-01|0.0
2019-05-02|25225.6
2019-05-03|28098.36
2019-05-04|0.0
2019-05-05|0.0
2019-05-06|11241.210000000001
2019-05-07|13601.43
2019-05-08|4516.0
2019-05-09|6667.55
2019-05-10|9992.21
2019-05-11|0.0
2019-05-12|0.0
2019-05-13|0.0
2019-05-14|13192.83
